Lat,Lon,distance,distance [m]
55.68864,12.576,3.7114783227993953,3711.4783227993953
55.68874,12.57581,3.7277715741368023,3727.7715741368024
55.689,12.57536,3.7681620070307646,3768.1620070307645
55.68917,12.57515,3.791196381098537,3791.196381098537
55.68925,12.57508,3.8011151512253845,3801.1151512253846
55.68928,12.575,3.807137687425166,3807.137687425166
55.68939,12.57487,3.8218346824756946,3821.8346824756945
55.68958,12.5747,3.845496637330617,3845.496637330617
55.68965,12.57468,3.85338058976914,3853.3805897691404
55.68971,12.57468,3.8600522945833613,3860.0522945833613
55.6901,12.57493,3.9061624494376708,3906.1624494376706
55.69056,12.57534,3.9634045408918177,3963.4045408918178
55.69062,12.57538,3.97053174068393,3970.53174068393
55.69082,12.57561,3.9970342166707122,3997.0342166707123
55.6909,12.57567,4.0066920432713,4006.6920432712996
55.69101,12.57579,4.021050856401042,4021.0508564010424
55.69118,12.57592,4.04163523633181,4041.6352363318106
55.69127,12.57596,4.0519520347261615,4051.9520347261614
55.69153,12.57629,4.087499291258881,4087.4992912588814
55.6916,12.57633,4.095676718300038,4095.6767183000384
55.69178,12.57657,4.120713970883101,4120.713970883101
55.69185,12.5766,4.128721503106572,4128.721503106572
55.69202,12.57673,4.1493058137462135,4149.305813746214
55.69214,12.5768,4.163351949936317,4163.3519499363165
55.69221,12.57681,4.171160797234898,4171.160797234898
55.6923,12.57687,4.181851540590703,4181.851540590703
55.69248,12.57694,4.202341827612909,4202.34182761291
55.69267,12.57711,4.22600340327728,4226.00340327728
55.69272,12.57722,4.23485995835373,4234.85995835373
55.6928,12.57731,4.245393133255045,4245.3931332550455
55.69303,12.5775,4.273604298210259,4273.604298210259
55.69308,12.57756,4.280316308186776,4280.316308186776
55.69317,12.57762,4.2910070221077286,4291.0070221077285
55.6933,12.57774,4.3073017383469985,4307.301738346999
55.6935,12.57798,4.3341497038858225,4334.149703885822
55.6937,12.57813,4.358294013847164,4358.294013847164
